"Rank","Song","Artist","Year","Lyrics","Source"
53,"we are family","sister sledge",1979," we are family i got all my sisters with me we are family get up evrybody and sing we are family i got all my sisters with me we are family get up evrybody and singevryone can see were together as we walk on by hey and we fly just like birds of a feather i wont tell no lie all all of the people around us they say can they be that close just let me state for the record were giving love in a family dosewe are family i got all my sisters with me we are family get up evrybody and sing we are family i got all my sisters with me we are family get up evrybody and singliving life is fun and weve just begun to get our share of the worlds delights high high hopes we have for the future and our goals in sight we no we dont get depressed cause heres what we call our golden rule have faith in you and the things you do you wont go wrong this is our family jewel ",1
54,"rock n roll fantasy","bad company",1979," here comes the jesters one two three its all part of my fantasy i love the music and i love to see the crowd dancin in the aisles and singin out loudhere comes the dancers one bye one your mamas callin but youre havin fun you find youre dancin on a number nine cloud put your hands together now and sing it out loudits all part of my rock n roll fantasy its all part of my rock n roll dream its all part of my rock n roll fantasy its all part of my rock n roll dreamput up the spotlights one and all and let the feelin get down to your soul the musics so loud you can hear the sound reachin for the sky and churn in up the ground ",1
55,"every 1s a winner","hot chocolate",1979,NA,NA
56,"take me home","cher",1979," take me home take me home want to feel you close to me take me home take me home with you is where i wanna bewrapped in your arms tonight just makin love music and candlelight stars up abovetake me home take me home take me home take me home oh cant you see i want you near cant you see i want you near take me home take me home take me home take me home ooh baby lets get out of hereid follow you anywhere your place or mine just a one night only would be so fineim in heaven heaven seems like heaven heaven so much in heaven heaven take me home take me homeone night with you lyin here next to me its the right thing to do it would be ecstasyim in heaven heaven seems like heaven heaven so much in heaven heaventake me home take me home take me home take me home ooh i wanna feel you close to me i wanna feel you close take me home take me home take me home take me home with you is where i wanna bewrapped in your arms tonight just makin love music and candlelight stars up aboveim in heaven heaven seems like heaven heaven take me take me home i need youcome on and take me ooh baby baby take me home take me take me home i need you youll be lyin next to me baby itd be ecstasy take me take me home home with you oh cant you see i want you near baby baby lets get out of here take me ",1
57,"boogie wonderland","earth wind  fire  the emotions",1979,"dance boogie wonderland hey hey dance boogie wonderland midnight creeps so slowly into hearts of men who need more than they get daylight deals a bad hand to a woman who has laid too many bets the mirror stares you in the face and says baby uh uh it dont work you say your prayers though you dont care you dance and shake the hurt dance boogie wonderland hey hey dance boogie wonderland sound fly through the night i chase my vinyl dreams to boogie wonderland i find romance when i start to dance in boogie wonderland i find romance when i start to dance in boogie wonderland all the love in the world cant be gone all the need to be loved cant be wrong all the records are playing and my heart keeps saying boogie wonderland wonderland dance boogie wonderland hey hey dance boogie wonderland hey hey i find romance when i start to dance in boogie wonderland i find romance when i start to dance in boogie wonderland dance boogie wonderland hey hey dance boogie wonderland hey hey wonderland wonderland all the love in the world cant be gone all the need to be loved cant be wrong all the records are playing and my heart keeps saying boogie wonderland wonderland dance boogie wonderland hey hey dance boogie wonderland hey hey i find romance when i start to dance in boogie wonderland i find romance when i start to dance in boogie wonderland dance boogie wonderland hey hey dance boogie wonderland hey hey",3
58,"our love dont throw it all away","andy gibb",1979," maybe i dont wanna know the reason why but lately you dont talk to me darling i cant see me in your eyesi hold you near but youre so far away and its losing you i cant believe to watch you leave and let this feeling dieyou alone are the living thing that keeps me alive and tomorrow if im here without your love you know i cant survive only my love can raise you high above it alldont throw it all away our love our love dont throw it all away our love dont throw it all away our love our love dont throw it all away our lovewe can take the darkness and make it full of light but let your love flow back to me how can you leave and let this feeling diethis happy room will be a lonely place when you are gone and i wont even have your shoulders for the crying on no other womans love could be as true im begging youdont throw it all away our love our love dont throw it all away our love dont throw it all away our love our love dont throw it all away our lovewe changed the world we made it ours to hold but dreams are made for those who really try this losing you is real but i still feel you here insidedont throw it all away our love our love dont throw it all away our love dont throw it all away our love our love dont throw it all away our lovedont throw it all away our love our love dont throw it all away our love dont throw it all away our love our love dont throw it all away our lovedont throw it all away our love our love dont throw it all away our love dont throw it all away our love our love dont throw it all away our lovedont throw it all away our love our love dont throw it all away our love dont throw it all away our love our love dont throw it all away our lovedont throw it all away our love our love dont throw it all away our love ",1
59,"what you wont do for love","bobby caldwell",1979," what you wont doi guess you wonder where ive been i searched to find a love within i came back to let you know got a thing for you and i cant let gomy friends wonder what is wrong with me well im in a daze from your love you see i came back to let you know got a thing for you and i cant let gosome people go around the world for love and they may never find what they dream of what you wont do you do for loveyou tried everything but you dont give up in my world only you make me do for love what i would not domy friends wonder what is wrong with me well im in a daze from your love you see i came back to let you know got a thing for you and i cant let goi know i only want the best its true i cant believe the things i do for you what you wont do you do for loveyouve tried everything but you wont give up in my world only you make me do for love what i would not domake me do for love what i would not do make me do for love what i would not do make me do for love what i would not do ",1
60,"new york groove","ace frehley",1979," many years since i was here on the street i was passin my time away to the left and to the right buildings towering to the sky its outta sight in the dead of nighthere i am and in this city with a fistful of dollars and baby youd better believeim back back in the new york groove im back back in the new york groove im back back in the new york groove back in the new york groove in the new york groovein the back of my cadillac a wicked lady sittin by my side sayin where are we stop at third and fortythree exit to the night its gonna be ecstacy this place was meant for mefeels so good tonight who cares about tomorrow so baby youd better believeim back back in the new york groove im back back in the new york groove im back back in the new york groove back in the new york groove in the new york grooveim back back in the new york groove im back back in the new york groove im back back in the new york groove im back back in the new york groove im back back in the new york groove im back back in the new york groove im back back in the new york groove im back back in the new york groove im back back in the new york groove im back back in the new york groove ",1
61,"sultans of swing","dire straits",1979," you get a shiver in the dark its raining in the park but meantime south of the river you stop and you hold everything a band is blowing dixie double four time you feel alright when you hear that music ringyou step inside but you dont see too many faces coming in out of the rain to hear the jazz go down too much competition too many other places but not too many horns can make that sound way on down south way on down south london townyou check out guitar george he knows all the chords mind hes strictly rhythm he doesnt want to make it cry or sing and an old guitar is all he can afford when he gets up under the lights to play his thingand harry doesnt mind if he doesnt make the scene hes got a daytime job hes doing alright he can play honky tonk just like anything saving it up for friday night with the sultans with the sultans of swingand a crowd of young boys theyre fooling around in the corner drunk and dressed in their best brown baggies and their platform soles they dont give a damn about any trumpet playing band it aint what they call rock and roll and the sultans played creoleand then the man he steps right up to the microphone and says at last just as the time bell rings thank you goodnight now its time to go home and he makes it fast with one more thing we are the sultans of swing ",1
62,"i want your love","chic",1979," i want your love i want your lovedo you feel like you ever want to try my love and see how well it fits baby cant you see when you look at me i cant kick this feelin when it hits all alone in my bed at night i grab m pillow and squeeze it tight i think of you and i dream of you all the time what am i gonna doi want your love i want your lovesometime dont you feel like you never really had a love thats real well here i am and whos to say a better love you wont find today just one chance and i will show you love like no other two steps above on your ladder ill be a peg i want your lovin please dont make me beg ",1
63,"chuck es in love","rickie lee jones",1979," how come he dont come and plp with me down at the meter no more and how come he turn off the tv and hang that sign on the doorwell we call and we call how come we say hey what could make a boy behave this waywell he has learned all of the lines now and every time he dont stutter when he talks well its true its true he sure has acquired a cool and inspired sorta jazz when he walks wheres his jacket and his old blue jeans this aint healthy it is some kinda cleanthe fact is chuck es in love chuck es in love chuck es in love chuck es in lovei dont believe what youre saying to me this is something that i have to seeis he here i look in the pool hall well is he here i look in the drugstore is he here no he dont come here no morewell ill tell you what i saw him he was sitting behind us down in the pantages and whatever it is that hes got up his sleeve well i hope it isnt contagiouswhats her name is that her there christ i think hes even combed his hair now is that her  whats her name oh its never gonna be the samethats not her i know whats wrong because chuck es in love with the little girl whos singing this song dont you know that chuck es in love chuck es in love chuck es in love oh my chuck es chuck es in love chuck es in love with me ",1
64,"i love the nightlife","alicia bridges",1979,"i love the nightlife i got to boogie on the disco round oh yeah oh i love the nightlife i got to boogie on the disco round oh yeah please dont talk about love tonight please dont talk about sweet love please dont talk about bein true and all the trouble weve been through ah please dont talk about all of the plans we had for fixin this broken romance i want to go where the people dance i want some action i want to live action i got so much to give i want to give it i want to get some too oh i oh i i love the nightlife i got to boogie on the disco round oh yeah oh i love the nightlife i got to boogie on the disco round oh yeah please dont talk about love tonight your sweet talkin wont make it right love and lies just bring me down when youve got women all over town you can love them all and when youre through maybe thatll make huh a man out of you i got to go where the people dance i want some action i want to live action i got so much to give i want to give it i want to get some too oh i i love the nightlife i got to boogie on the disco round oh yeah oh i love the night life i got to boogie on the disco round oh yeah oh i love the nightlife i got to boogie on the disco round yeah oh i love the night life i got to boogie on the disco round yeah oh i love the nightlife i got to boogie on the disco round oh yeah oh i love the night life i got to boogie on the disco round yeah oh i love the nightlife i got to boogie on the disco round oh yeah",3
65,"aint no stoppin us now","mcfadden  whitehead",1979,"aint no stoppin us now were on the move aint no stoppin us now weve got the groove theres been so many things thats held us down but now it looks like things are finally comin around i know weve got a long long way to go and where well end up i dont know but we wont let nothin hold us back were putting ourselves together were polishing up our act if youve ever been held down before i know you refuse to be held down anymore dont you let nothing nothing stand in your way i want yall to listen listen to every word i say every word i say aint no stoppin us now were on the move aint no stoppin us now weve got the groove aint no stoppin us now were on the move i know i know aint no stoppin us now weve got the groove weve got it i know you know someone that has a negative vibe and if youre trying to make it they only push you aside they really dont have nowhere to go ask them where theyre going they dont know but we wont let nothin hold us back were gonna put ourselves together gonna polish up our act if youve ever been held down before i know you refuse to be held down anymore dont you let nothing nothing stand in your way i want yall to listen listen to every word i say every word i say aint no stoppin us now no no no were on the move movin groovin aint no stoppin us now weve got the groove movin groovin aint no stoppin us now were on the move i know weve got the groove aint no stoppin us now weve got the groove",5
66,"lonesome loser","little river band",1979," have you heard about the lonesome loser beaten by the queen of hearts every time have you heard about the lonesome loser hes a loser but he still keeps on tryinoohoohooh ooohsit down take a look at yourself dont you want to be somebody someday somebodys gonna see inside you have to face up you cant run and hidehave you heard about the lonesome loser beaten by the queen of hearts every time have you heard about the lonesome loser hes a loser but he still keeps on tryinunlucky in love least thats what they say he lost his head and he gambled his heart away he still keeps searching though theres nothing left staked his heart and lost now he has to pay the costhave you heard about the lonesome loser beaten by the queen of hearts every time have you heard about the lonesome loser hes a loser but he still keeps on tryinits okay he smiles and says though this loneliness is driving him crazy he dont show what goes on in his head but if you watch very close youll see it allsit down take a look at yourself dont you want to be somebody someday somebodys gonna see inside you have to face up you cant run and hidehave you heard about the lonesome loser beaten by the queen of hearts every time have you heard about the lonesome loser hes a loser but he still keeps on tryinhave you heard about the lonesome loser have you heard about the lonesome loser have you heard about the lonesome loser now tell me have you heard about the lonesome loser ",1
67,"renegade","styx",1979," oh mama im in fear for my life from the long arm of the law lawman has put an end to my running and im so far from my home oh mama i can hear your crying youre so scared and all alone hangman is coming down from the gallows and i dont have very longthe jig is up the news is out theyve finally found me the renegade who had it made retrieved for a bounty never more to go astray this will be the end today of the wanted manoh mama ive been years on the lam and had a high price on my head lawman said get him dead or alive now its for sure hell see me dead dear mama i can hear you crying youre so scared and all alone hangman is coming down from the gallows and i dont have very longthe jig is up the news is out they finally found me the renegade who had it made retrieved for a bounty never more to go astray the judgell have revenge today on the wanted manoh mama im in fear for my life from the long arm of the law hangman is coming down from the gallows and i dont have very longthe jig is up the news is out they finally found me the renegade who had it made retrieved for a bounty never more to go astray thisll be the end today of the wanted man the wanted mani dont want to go oh no no no no nooh mama dont let him take me oh no oh no no no no no no ",1
68,"love is the answer","england dan  john ford coley",1979,"name your price a ticket to paradise i cant stay here any more and ive looked high and low ive been from shore to shore to shore if theres a short cut id have found it but there is no easy way around it light of the world shine on me love is the answer shine on us all set us free love is the answer who knows why someday we all must die were all homeless boys and girls and we are never heard its such a lonely lonely lonely world people turn their heads and walk on by tell me is it worth just another try light of the world shine on me love is the answer shine on us all set us free love is the answer tell me are we alive or just a dying planet what are the chances ask the man in your heart for the answer and when you feel afraid love one another when youve lost your way love one another and when youre all alone love one another and when youre far from home love one another and when youre down and out love one another and when your hopes run out love one another and when you need a friend love one another and when youre near the end love weve got to love weve got to love one another light of the world shine on me love is the answer shine on us all set us free love is the answer light of the world shine on me love is the answer shine on us all set us free love is the answer",3
69,"got to be real","cheryl lynn",1979," what you findah what you feel now what you knowa to be realwhat you find ah i think i love you baby what you feel now i feel i need you baby what you knowa to be realooh your loves for real now you know that your love is my love my love is your love our love is here to staywhat you findah what you feel now what you knowa to be realooh your loves for real now you know that your love is my love my love is your love our love is here to staywhat you find ah i think i love you baby what you feel now i feel i need you baby what you knowa to be realwhat you find ah i think i love you baby what you feel now i feel i need you what you knowa to be real ",1
70,"born to be alive","patrick hernandez",1979," we were born to be alive we were born to be aliveborn born to be alive born to be alive you see were born born born born to be alivetimes was on my side when i runninin the street it was the by by by a suitcase and an old guitar and something new to occupy my mind mind mindyou see were born born born to be alive born too be alive you see were born born born to be alive born too be alivepeople ask me why i never find a place to stop and settle down down down but i never wanted all the things that people need to justify their lives lives livesyou see were born born born to be alive born too be alive you see were born born bornits good to be alive to be alive to be alive its good to be alive to be alive to be alive its good to be alivetimes was on my side when i runninin the street it was the by by by a suitcase and an old guitar and something new to occupy my mind mind mindyou see were born born born to be alive born too be alive you see were born born born you see were born born born to be alive born too be alive you see were born born born you see were born born born to be alive born too be alive you see were born born born born to be alive you see were born born born to be alive born too be alive you see were born born born born to be alive ",1
71,"shine a little love","electric light orchestra",1979," although the things youve done i wouldnt criticize i guess you had your way you see i gotta make you understand i know it sounds a foolish thing to say but it dont matter baby cause todays another dayyou shine a little love on my life you shine a little love on my life you shine a little love on my life and let me seeremember tonight were gonna run til dawn remember tonight were gonna say well never stop we got a good thing goin on i know youve heard it all before but i really need you darlin every day i need you moreyou shine a little love on my life you shine a little love on my life you shine a little love on my life and let me seecan you understand yes i understand can you feel its right i know it is will you be the same ill do it all againits been a year now and its getting so much better you came home without a word though everybody said youll soon forget her they couldnt see and they just didnt understand and lookin in the mirror there were fools at either handyou shine a little love on my life you shine a little love on my life you shine a little love on my life and let me seecan you understand yes i understand can you feel its right i know it is will you be the same ill do it all againhow many days had i been waiting there to tell you i really cant believe were walkin out into the world tonight well do it all again until the break of light and the feelin in your heart will soon be shinin in your eyesyou shine a little love on my life you shine a little love on my life you shine a little love on my life and let me seeyou shine a little love on my life shine all day you shine a little love on my life oh oh oh you shine a little love on my life and let me seeyou shine a little love on my life shine you shine a little love on my life hey hey ho you shine a little love on my life and let me see ",1
72,"i just fall in love again","anne murray",1979," dreamin i must be dreamin or am i really lying here with you baby you take me in your arms and though im wide awake i know my dream is comin trueand oh i just fall in love again just one touch and then it happens every time there i go by just fall in love again and when i do i cant help myself i fall in love with youmagic it must be magic the way i hold you when the night just seems to fly easy for you to take me to a star heaven is that moment when i look into your eyesand oh i just fall in love again just one touch and then it happens every time there i go by just fall in love again and when i do i cant help myself i fall in love with you ",1
73,"shake it","ian matthews",1979," here she comes ridin rollin it down the line slipin and slidin takin her sweet old timeand laughin all the way to the parking lot knowin in the back of her mind shes gonna show the boy what shes really got and stop him in the nick of timechorusshake it baby shake it all you can tonight go on and and break em baby break em all you can tonight cause it wont last forever but do it for worse or for better and give the boy somethin to dream on laterhere she comes slidin shakin it down the hall shes got a picture in her locker an autographed basketballshes got a purse that was made in mexico mexico a mind that was made for love shes got a new way of dancin slow she knows what youre thinkin ofchorusit wont last forever but do it for worse or for better and give the boy somethin to dream on later andrepeat chorus and fade ",1
74,"i was made for lovin you","kiss",1979," do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do tonight i want to give it all to you in the darkness theres so much i want to do and tonight i want to lay it at your feet cause girl i was made for you and girl you were made for mei was made for lovin you baby you were made for lovin me and i cant get enough of you baby can you get enough of metonight i want to see it in your eyes feel the magic theres something that drives me wild and tonight were gonna make it all come true cause girl you were made for me and girl i was made for youi was made for lovin you baby you were made for lovin me and i cant get enough of you baby can you get enough of mei was made for lovin you baby you were made for lovin me and i can give it all to you baby can you give it all to meoh cant get enough oh oh i cant get enough oh oh i cant get enough yeah hado do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do doi was made for lovin you baby you were made for lovin me and i cant get enough of you baby can you get enough of meoh i was made you were made i cant get enough no i cant get enoughi was made for lovin you baby you were made for lovin me and i cant get enough of you baby can you get enough of mei was made for lovin you baby you were made for lovin me and i can give it all to you baby ",1
75,"i just wanna stop","gino vannelli",1979," for your love when i think about those nights in montreal i get the sweetest thoughts of you and me memories of love above the city lights ooh i tried so hard to take it but oh lord my heart wont make iti just wanna stop and tell you what i feel about you babe i just wanna stop i never wanna live without you babe i just gotta stop for your lovewhen i think about the way the world must turn i get the saddest thoughts for you and me memories of life and times go on and on ooh ive tried hard to forget it but oh lord my mind wont let iti just wanna stop and tell you what i feel about you babe i just wanna stop the world aint right without you babe i just gotta stop for your loveooo ive tried so hard to take it but oh lord my heart wont make iti just wanna stop and tell you what i feel about you babe i just wanna stop the world aint right without you babe i just wanna stop for your love ",1
76,"disco nights rockfreak","gq",1979," let the spirit flow all through your body just lend us an ear involve yourself youre free to follow and well take you there you said you want to reach the sky so get up the feelings right and the musics tight on the disco nights just say you will just do what you feel im for real the musics full of joy and laughter and its such a thrill to free your mind from all the pressure head on up the hillrepeat chorus ",1
77,"ooo baby baby","linda ronstadt",1979,"ooo la la la la i did you wrong my heart went out to play and in came i lost you what a price to pay im cryin ooo baby baby ooo baby baby these days i know i made you feel bad but im only human youve made mistakes too im cryin ooo baby baby ooo baby baby ooo baby baby ooo baby baby im just about at the end of my rope but i cant stop tryin i cant give up hope cause ill be here and someday ill hold you near whisper i still love you until that day is here im cryin ooo baby baby ooo baby baby ooo baby baby ooo baby baby ooo",3
78,"september","earth wind  fire",1979,"do you remember 21st night of september love was changing the mind of pretenders while chasing the clouds away our hearts were ringing in the key that our souls were singing as we danced in the night remember how the stars stole the night away yeah yeah yeah hey hey hey ba de ya say do you remember ba de ya dancing in september ba de ya never was a cloudy day ba duda ba duda ba duda badu ba duda badu ba duda badu ba duda badu ba duda yeah my thoughts are with you holding hands with your heart to see you only blue talk and love remember how we knew love was here to stay now december found the love we shared in september only blue talk and love remember the true love we share today hey hey hey ba de ya say do you remember ba de ya dancing in september ba de ya never was a cloudy day there was a ba de ya say do you remember ba de ya dancing in september ba de ya golden dreams were shiny days now our bell was ringing aha our souls was singing do you remember every cloudy day yau there was a ba de ya say do you remember ba de ya dancing in september ba de ya never was a cloudy day there was a ba de ya say do you remember ba de ya dancing in september ba de ya golden dreams were shiny days ba de ya de ya de ya ba de ya de ya de ya ba de ya de ya de ya de ya ba de ya de ya de ya ba de ya de ya de ya ba de ya de ya de ya de ya",3
79,"time passages","al stewart",1979," it was late in december the sky turned to snow all round the day was goin down slow night like a river beginning to flow i felt the beat of my mind go drifting into time passages years go falling in the fading light time passages buy me a ticket on the last train home tonightwell im not the kind to live in the past the years run too short and the days too fast the things you lean on are the things that dont last well its just now and then my line gets cast into these time passages theres something back here that you left behind oh time passages buy me a ticket on the last train home tonighthear the echoes and feel yourself starting to turn dont know why you should feel that theres something to learn its just a game that you playwell the picture is changingnow youre part of a crowd theyre laughing at something and the musics loud a girl comes towards you you once used to know you reach out your hand but youre all alone in these time passages i know youre in there youre just out of sight oh time passages buy me a ticket on the last train home tonight ",1
80,"rise","herb alpert",1979,"  ",1
81,"dont bring me down","electric light orchestra",1979," you got me runnin goin out of my mind you got me thinkin that im wastin my timedont bring me down no no no no no ill tell you once more before i get off the floor dont bring me downyou wanna stay out with your fancy friends im tellin you its go to be the enddont bring me down no no no no no ill tell you once more before i get off the floor dont bring me downdont bring me down grroosss dont bring me down grroosss dont bring me down grroosss dont bring me downwhat happened to the girl i used to know you let your mind out somewhere down the roaddont bring me down no no no no no ill tell you once more before i get off the floor dont bring me downyoure always talkin bout your crazy nights one of these days youre gonna get it rightdont bring me down no no no no no ill tell you once more before i get off the floor dont bring me downdont bring me down grroosss dont bring me down grroosss dont bring me down grroosss dont bring me downyoure lookin good just like a snake in the grass one of these days youre gonna break your glassdont bring me down no no no no no no no no no ill tell you once more before i get off the floor dont bring me downyou got me shakin got me runnin away you got me crawlin up to you everydaydont bring me down no no no no no ill tell you once more before i get off the floor dont bring me down down down down down downill tell you once more before i get off the floor dont bring me down ",1
